cme_id,cme_date,cme_pa,cme_width,harpnum,LONDTMIN,LONDTMAX,LATDTMIN,LATDTMAX,flare_id,dimming_id,verification_score
20170702132542268,2017-07-02 13:25:42,268.0,60.0,7058,67.770599,85.776299,13.1102,24.136101,13497.0,,4.0
20160304093604010,2016-03-04 09:36:04,10.0,51.0,6399,-12.7261,9.2954,8.4991,17.308599,11987.0,,4.0
20160306054804357,2016-03-06 05:48:04,357.0,157.0,6399,12.1497,34.171299,8.4991,17.308599,11992.0,8897.0,3.0
20160310191904298,2016-03-10 19:19:04,298.0,32.0,6399,73.832802,90.0,8.4991,17.308599,12009.0,,4.0
20130625220005243,2013-06-25 22:00:05,243.0,53.0,2861,61.369099,79.965599,-0.919,9.3236,,7920.0,5.0
20130101012529053,2013-01-01 01:25:29,53.0,106.0,2341,-89.710197,-67.984596,-29.7616,-20.0341,5294.0,,4.0
20120831082405028,2012-08-31 08:24:05,28.0,119.0,1993,-25.751101,-7.8508,-2.2964,8.4672,4568.0,,4.0
20120902093606287,2012-09-02 09:36:06,287.0,173.0,1993,2.1437,20.044001,-2.2964,8.4672,,5981.0,5.0
20120903170005269,2012-09-03 17:00:05,269.0,139.0,1993,19.946501,37.846802,-2.2964,8.4672,4590.0,,4.0
20120907022405232,2012-09-07 02:24:05,232.0,172.0,1993,66.097702,83.998001,-2.2964,8.4672,4621.0,,4.0
20130421203605255,2013-04-21 20:36:05,255.0,212.0,2663,47.7327,63.598,-27.3573,-14.3617,5807.0,6928.0,3.0
20130423184807258,2013-04-23 18:48:07,258.0,106.0,2663,73.406197,89.2715,-27.3573,-14.3617,5828.0,,4.0
20130809204805129,2013-08-09 20:48:05,129.0,110.0,3056,-87.445999,-68.614197,-11.8171,-1.4511,6469.0,,4.0
20130816154805232,2013-08-16 15:48:05,232.0,189.0,3056,4.7936,23.625401,-11.8171,-1.4511,6511.0,,4.0
20130817191206999,2013-08-17 19:12:06,,360.0,3056,20.298901,39.130699,-11.8171,-1.4511,6518.0,6859.0,1.0
20140630071205106,2014-06-30 07:12:05,106.0,100.0,4288,-30.097799,-12.4469,6.0492,17.2966,8545.0,,4.0
20140925223607005,2014-09-25 22:36:07,5.0,64.0,4591,-1.007,19.1649,10.7893,20.960699,8970.0,,2.0
20150610021205127,2015-06-10 02:12:05,127.0,33.0,5653,-30.840799,-12.7482,-19.6157,-8.3507,10522.0,8364.0,3.0
20150614041206199,2015-06-14 04:12:06,199.0,195.0,5653,24.227301,42.319801,-19.6157,-8.3507,,8400.0,5.0
20151207151209083,2015-12-07 15:12:09,83.0,176.0,6167,-84.253502,-63.6511,-12.1068,-2.4334,11524.0,,4.0
20151211043604093,2015-12-11 04:36:04,93.0,84.0,6167,-35.8965,-15.294,-12.1068,-2.4334,11545.0,,4.0
20150112153605084,2015-01-12 15:36:05,84.0,210.0,5054,-52.327999,-31.9832,-16.639799,-6.7081,9683.0,,4.0
20131025032405097,2013-10-25 03:24:05,97.0,121.0,3311,-82.780403,-66.3853,-16.2104,-3.8846,6829.0,,2.0
20131025081205999,2013-10-25 08:12:05,,360.0,3311,-80.068604,-63.673401,-16.2104,-3.8846,6832.0,,2.0
20131025151209999,2013-10-25 15:12:09,,360.0,3311,-76.113899,-59.7187,-16.2104,-3.8846,6837.0,7719.0,1.0
20131026112405999,2013-10-26 11:24:05,,360.0,3311,-64.701599,-48.3064,-16.2104,-3.8846,6853.0,7744.0,1.0
20131026191205074,2013-10-26 19:12:05,74.0,207.0,3311,-60.2948,-43.8997,-16.2104,-3.8846,6857.0,7750.0,1.0
20131028153605999,2013-10-28 15:36:05,,360.0,3311,-35.2104,-18.815201,-16.2104,-3.8846,6878.0,7800.0,1.0
20170128214805280,2017-01-28 21:48:05,280.0,53.0,6920,49.326401,73.027496,7.4516,16.0375,,8987.0,5.0
20171116200005099,2017-11-16 20:00:05,99.0,93.0,7189,-54.439602,-34.3596,-14.0399,-3.8646,14032.0,,4.0
20140121173605196,2014-01-21 17:36:05,196.0,138.0,3620,33.723801,59.153301,-37.634998,-28.0914,7464.0,6649.0,3.0
20111127103606250,2011-11-27 10:36:06,250.0,77.0,1089,56.835701,78.145599,-29.2204,-18.709999,,5116.0,5.0
20160212071204299,2016-02-12 07:12:04,299.0,45.0,6317,49.797798,72.4842,9.732,19.061001,11847.0,8880.0,3.0
20110402113605234,2011-04-02 11:36:05,234.0,89.0,443,13.2765,33.317001,-33.681,-22.052401,,4541.0,5.0
20151129074804999,2015-11-29 07:48:04,,360.0,6136,-0.6421,21.4645,5.2432,14.7217,11489.0,,4.0
20151201084804282,2015-12-01 08:48:04,282.0,71.0,6136,27.028999,49.135601,5.2432,14.7217,11496.0,8789.0,3.0
20151204032404268,2015-12-04 03:24:04,268.0,39.0,6136,64.639099,86.745697,5.2432,14.7217,11503.0,,4.0
20120210200005999,2012-02-10 20:00:05,,360.0,1389,-23.7292,-4.0309,-23.597601,-12.4857,3266.0,,4.0
20141002042405029,2014-10-02 04:24:05,29.0,186.0,4610,-12.6857,8.8935,7.3521,17.270201,,7467.0,5.0
20120728132550025,2012-07-28 13:25:50,25.0,137.0,1895,-43.2733,-19.5296,16.177401,25.6527,,5869.0,5.0
20150521222406999,2015-05-21 22:24:06,,360.0,5586,-42.426899,-16.6898,16.960501,25.8258,10471.0,,4.0
20140305091209087,2014-03-05 09:12:09,87.0,115.0,3813,-34.832901,-11.3671,9.3075,18.6483,,7311.0,5.0
20120606203606180,2012-06-06 20:36:06,180.0,173.0,1724,-10.3535,11.172,-24.261499,-13.7385,3935.0,5665.0,1.0
20120608034714199,2012-06-08 03:47:14,199.0,119.0,1724,7.0551,28.580601,-24.261499,-13.7385,3953.0,5673.0,1.0
20170430023605257,2017-04-30 02:36:05,257.0,89.0,6994,16.942801,39.929699,-15.9568,-6.3575,13346.0,,4.0
20130715124805191,2013-07-15 12:48:05,191.0,123.0,2952,-27.7248,-5.9057,-20.263,-9.9445,6389.0,,4.0
20140510102405294,2014-05-10 10:24:05,294.0,132.0,4088,40.900002,58.278999,-21.8153,-8.7894,8248.0,8221.0,3.0
20130501031208999,2013-05-01 03:12:08,,360.0,2691,24.505899,50.995098,-22.3223,-13.6514,5901.0,,2.0
